,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
 nv, , , , , , , , , , , , , , , , toːta, , , , , , ɬɑ̂ːʔìː, nɑ̀ːkʰɪ̀, tʰɑ́ːʔ, tĩ́ːʔ, ɑ̀ʃtˡɑ̀ʔ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , tsʔɪn, , , , , , ɑ̀t͡sʰìːɣɑ̀ʔ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , txʷó, , , , , , , , , , , , , nɪ́ɬt͡ʃʼɪ̀, zɑ̀s, , , k͡xõʔ˩, , , , tsɪɬ, , , , , , , tʃĩ́, , , , , , , jáʔátʔɛ́ːh, , , , , nɑ́zpɑ̃̀s, , , , , , , , , , , , , , , , , 
 ny, ˈi.ne, , ˈi.jé, ˈi.fe, ˈi.we, ˈi.wó, , , , , ˈⁿda.ní, t͡ʃiˈjá.ni, , , , , , , , , , ˈmó.d͡zi, , , , , , , , , , , , , , ˈmká.zi, , , , , , ˈmá.ji, ˈɓa.ᵐbo, ˈɲa.ma, ˈⁿsó.ᵐba, ᵐbáˈɽa.me, ˈɡa.ɽú, ˈⁿsa.ɓʷe, ˈⁿd͡ʒó.ka, , mˈté.ᵑɡo, , , t͡ʃiˈpá.t͡so, ˈᵐbé.(w)u, ˈt͡sa.ᵐba, ˈmu.zu, , ˈɗu.(w)a, ˈu.d͡zú, , ˈkʰu.ᵑɡú, ˈɲa.ma, maˈɡa.zi, ˈfú.pa, , ˈd͡zi.ɽa, , ˈmt͡ʃí.ɽa, ˈⁿtʰe.ᵑɡa, , ˈmu.tú, ˈkʰu.tú, ˈɗí.so, ˈᵐpʰu.no, ˈka.mʷa, ˈd͡zí.no, ɽiˈɽí.me, kʰáˈɗa.ɓo, ˈpʰa.zí, ˈmʷe.ⁿdo, ˈɓó.ⁿdo, ˈd͡za.ⁿd͡ʒa, ˈpʰi.ko, ˈmí.ᵐba, , ˈkʰo.si, mˈsá.na, ˈɓé.ɽe, mˈtí.ma, t͡ʃíˈw⁽ᵝ⁾i.ⁿdi, , , , , , , , , , , , , ɡaˈni.za, , , , , , , , , , , , , , , , ˈⁿt͡ʃʰé.ⁿt͡ʃʰe, , , ˈɓó.d͡za, , , , , ˈpa.t͡sa, , , , , , , , , , , , , , , , , , , ˈd͡zú.w⁽ᵝ⁾a, ˈmʷe.zí, ɲéˈɲe.zí, ˈma.d͡zí, ˈᶬvú.ɽa, mˈt͡sí.ⁿd͡ʒe, ˈɲa.ⁿd͡ʒá, , mˈt͡ʃé.ɽe, ˈmʷa.ɽá, mˈt͡ʃe.ᵑɡa, ˈfu.ᵐbí, , mˈta.ᵐbo, ˈᵑkʰú.ᵑɡu, , ˈᵐpʰé.po, , , ˈu.t͡sí, ˈmó.to, t͡ʃiˈpa.ɽa, , mˈse.(w)u, ˈpʰi.ɽi, , , , , , , ˈt͡sí.ku, ˈt͡ʃa.ká, , , , , , , , , , , , , , , , , , , , , , , , , , , t͡ʃiˈfu.kʷá, ˈd͡zí.na
 oc, ˈjew, , , nus, ty, , , , , , , , ˈunt, , , , tut, , , , , , , tres, ˈkatre, siŋk, , , , , , , , , , ˈfenno, , , , ˈfenno, , ˈmajɾe, ˈpajɾe, , , awˈsɛl, ˈɡus, peˈzul, , , , , , , , ˈfɥɛʎo, rraˈis, , , ˈɛrβo, , pɛl, , , ˈɔs, , , , , , , kap, awˈɾeʎo, , , buko, , ˈleŋɡo, , pɛ, ˈkambo, (d)ʒeˈnul, ma, , , , , , , kɔr, , ˈbewre, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ejsyˈɣa, , , , , , , , , , , , , , suˈlel, ˈlyno, , , ˈplɥɛ(d)ʒo, ˈrriw, , , , ˈpɛjɾo, ˈsaβlo, , , , ˈnɛβlo, , , ˈnɛw, , , , , , , , , ˈbert, , , , ˈnɥɛtʃ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 oj, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 om, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ɐfɑːn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 or, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 os, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , əvˈʒak, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , denˈd͡ʒɨs, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 pa, , , , , , , , , , , , , , , , , , , , , , ɪkː˧, , t̪ɪn̪ː, , , , , , , , , , , , , , , , , , , , , mət.t͡ʃʰiː, , , , , , , , , , , , , , , , , , , , , , , , , , ʋɑːl, , kənː, əkːʰ, , , d̪ənd̪, , , pɛːɾ, , , , , , , , , , d̪ɪl, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , pɑː.ɳiː, , , , , , , , , , , , , ɦə̀ʋä̌ː, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 pi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 pl, ja, tɨ, ɔn, mɨ, tɨ, ˈɔ.ɲi, tɛn, ˈtam.tɛn, tu, tam, ktɔ, t͡sɔ, ɡd͡ʑɛ, ˈkʲɛ.dɨ, jak, ɲɛ, ˈfʂɨ.stɛk, ˈvʲɛ.lɛ, ˈtrɔ.xɛ, ˈma.wɔ, ˈin.nɨ, ˈjɛ.dɛn, dva, tʂɨ, ˈt͡ʂtɛ.rɨ, pʲɛɲt͡ɕ, dɔˈrɔ.swɨ, ˈdwu.ɡʲi, ʂɛˈrɔ.kʲi, ˈɡru.bɨ, ˈt͡ɕɛŋ.ʂkʲi, ˈma.wɨ, ˈkrut.kʲi, ˈvɔ̃s.kʲi, ˈt͡ɕɛn.kʲi, kɔˈbʲɛ.ta, ˈt͡ʂwɔ.vʲɛk, ˈlut͡s.kʲi, ˈd͡ʑɛt͡s.kɔ, ˈʐɔ.na, mɔŋʂ, ˈmat.ka, ˈɔj.t͡ɕɛt͡s, ˈzvʲɛ.ʐɛ, ˈrɨ.ba, ptak, pʲɛs, vɛʂ, vɔŋʂ, ˈrɔ.bak, ˈdʐɛ.vɔ, las, kʲij, ˈɔ.vɔt͡s, naˈɕɛ.ɲɛ, lʲiɕt͡ɕ, ˈkɔ.ʐɛɲ, ˈkɔ.ra, kfʲat, ˈtra.va, ˈlʲi.na, ˈsku.ra, ˈmʲɛ̃.sɔ, krɛf, kɔɕt͡ɕ, twuʂt͡ʂ, ˈja.jɔ, ruk, ˈɔ.ɡɔn, ˈpʲu.rɔ, ˈvwɔ.sɨ, ˈɡwɔ.va, ˈu.xɔ, ˈɔ.kɔ, nɔs, ˈu.sta, zɔmp, ˈjɛ̃.zɨk, pazˈnɔ.kʲɛt͡ɕ, ˈstɔ.pa, ˈnɔ.ɡa, kɔˈla.nɔ, ˈrɛŋ.ka, ˈskʂɨ.dwɔ, bʐux, , ˈʂɨ.ja, ˈplɛ.t͡sɨ, pʲɛrɕ, ˈsɛr.t͡sɛ, vɔnˈtrɔ.ba, pʲit͡ɕ, , , ssat͡ɕ, plut͡ɕ, vɨ.mʲɔˈtɔ.vat͡ɕ, ˈdmu.xat͡ɕ, ɔdˈdɨ.xat͡ɕ, ɕmʲat͡ɕ ɕɛ, ˈvʲi.d͡ʑɛt͡ɕ, ˈswɨ.ʂɛt͡ɕ, ˈvʲɛ.d͡ʑɛt͡ɕ, ˈmɨɕ.lɛt͡ɕ, ˈza.pax, strax, spat͡ɕ, ʐɨt͡ɕ, uˈmʲɛ.rat͡ɕ, zaˈbʲi.jat͡ɕ, ˈval.t͡ʂɨt͡ɕ, pɔˈlɔ.vat͡ɕ, uˈdɛ.ʐat͡ɕ, t͡ɕɔɲt͡ɕ, ˈd͡ʑɛ.lʲit͡ɕ, , ˈdra.pat͡ɕ, ˈkɔ.pat͡ɕ, ˈpwɨ.vat͡ɕ, ˈmu.xa, iɕt͡ɕ, pʂɨˈxɔ.d͡ʑit͡ɕ, ˈkwam.stfɔ, ˈɕɛ.d͡ʑɛt͡ɕ, stat͡ɕ, , ˈspa.dat͡ɕ, ˈda.vat͡ɕ, ˈtʂɨ.mat͡ɕ, ˈɕt͡ɕi.skat͡ɕ, tʂɛt͡ɕ, mɨt͡ɕ, vɨˈt͡ɕɛ.rat͡ɕ, ˈt͡ɕɔŋ.ɡnɔɲt͡ɕ, pxat͡ɕ, ˈʐu.t͡sat͡ɕ, ˈvʲɔ̃.zat͡ɕ, ʂɨt͡ɕ, ˈlʲi.t͡ʂɨt͡ɕ, ˈmu.vʲit͡ɕ, ˈɕpʲɛ.vat͡ɕ, ɡrat͡ɕ, , ˈpwɨ.nɔɲt͡ɕ, zaˈmar.zat͡ɕ, ˈpux.nɔɲt͡ɕ, ˈswɔɲ.t͡sɛ, ˈkɕɛŋ.ʐɨt͡s, ˈɡvʲaz.da, ˈvɔ.da, dɛʂt͡ʂ, ˈʐɛ.ka, jɛˈʑɔ.rɔ, ˈmɔ.ʐɛ, sul, ˈka.mʲɛɲ, ˈpʲa.sɛk, kuʂ, ˈʑɛ.mʲa, ˈxmu.ra, mɡwa, ˈɲɛ.bɔ, vʲatr, ɕɲɛk, lut, dɨm, ˈɔ.ɡʲɛɲ, ˈpɔ.pʲuw, ˈpa.lʲit͡ɕ ɕɛ, ˈdrɔ.ɡa, ˈɡu.ra, t͡ʂɛrˈvɔ.nɨ, ʑɛˈlɔ.nɨ, ˈʐuw.tɨ, ˈbʲa.wɨ, ˈt͡ʂar.nɨ, nɔt͡s, d͡ʑɛɲ, rɔk, ˈt͡ɕɛ.pwɨ, ˈʑim.nɨ, ˈpɛw.nɨ, ˈnɔ.vɨ, ˈsta.rɨ, ˈdɔ.brɨ, zwɨ, ˈzɡɲi.wɨ, ˈbrud.nɨ, ˈprɔ.stɨ, ɔˈkrɔŋ.ɡwɨ, ˈɔ.strɨ, ˈtɛm.pɨ, ˈɡwat.kʲi, ˈmɔ.krɨ, ˈsu.xɨ, pra.vʲiˈdwɔ.vɨ, ˈblʲis.kʲi, daˈlɛ.kʲi, ˈpra.vɔ, ˈlɛ.vɨ, u, f, s, i, ˈjɛɕ.lʲi, bɔ, ˈi.mʲɛ
 ps, zə, , haɣə, muʐ, ˈtɑse, , , , ˈd̪əlt̪a, ˈhalta, , , , , , , , ɖer, , ləɡ, bəl, , dwa, d̪re, t͡sa.lor, pinˈdzə, ɣaʈ, uʐd̪, , ɖaˈbəl, d̪ruŋd̪, waˈɺ̢ukai, , , , ʂəˈd͡za, , , , ʂəˈd͡za, , mor, , , kab, marˈɣa, , , , , ˈwəna, d͡zəŋɡəl, , , , pɑˈɳa, , , ɡwəl, , , , ɣwaˈ.ʂa, , , , həɡəi, , , , , , ɣwaɡ, st̪ərˈɡa, , xwlə, ɣɑʂ, ˈʒəbə, , , , , lɑs, , nas, , , , , zɻə, , , , , , , , , , , , awraˈwəl, poˈheˈdəl, , buj, , , , , , , , , , , , , , lɑmbəl, , , rɑˈt̪ləl, , , , tɑwaˈwəl, , , , , , , , , , , , , , , , ˈlobe kawəl, , , , , lmar, spoʐˈməi, st̪oˈ.raɪ, obə, bɑˈrɑn, siŋd̪, , , ˈmɑlɡa, , , , , , , hask, bɑd, wɑˈwra, , d̪od̪, or, , , wɑʈ, ɣar, sur, zərˈɣun, ʒeɻ, spin, t̪or, , wrad͡z, kɑl, , soɻ, ɖak, ˈnəwai, , xə, bəd, , sxɑ, , ɡərd, , , , lund̪, , , niɡˈde, ˈləre, , , , , , aw, , ˈdzəka tʃe, 
 pt, ˈew, tu, ˈe.li, ˈnɔʃ, tu, ˈe.lɨʃ, ˈɛʃ.tɨ, ˈe.sɨ, ɐˈki, ɐ.ˈi, kẽ(j̃), u ˌki, ˈõ.d͡ʒi, ˈkwɐ̃.du, ˈko.mu, nɐ̃w̃, ˈto.ðu, ˈmũj̃.tuʃ, al.ˈɡũʃ, ˈpow.kuʃ, ˈo(w).tɾu, ˈũ, ˈdojʃ, ˈtɾeʃ, ˈkwa.tɾu, ˈsĩ.ku, mɐjˈɔɾ, ˈlõ.ɡu, ˈlaɾ.ɡu, iʃ.ˈpe.su, pɨ.ˈza.ðu, pɪ.ˈke.nʊ, ˈkuɾ.tu, iʃ.ˈtɾɐj.tu, ˈfi.nu, muˈʎɛɾ, ˈɔmẽɪ̯, u.ˈmɐ.nu, ˈfi.ʎu, es.ˈpo.za, ma.ˈɾi.du, mɐ̃j̃, paj, ˌɐ.ni.ˈmaw, ˈpɐjʃɨ, ˈpa.sa.ɾu, ˈkɐ̃w̃, pi.ˈo.ʎu, ˈkɔ.bɾa, ˈvɛɾ.mɨ, ˈaɾ.vu.ɾɨ, floˈɾɛs.ta, ˈpaʊ, ˈfɾu.ta, sɨˈmẽtɨ, ˈfo.ʎɐ, ʁa.ˈis, , ˈfloʁ, ˈɡɾɐ̃mɐ, ˈkɔɾ.dɐ, ˈpɛ.lɨ, ˈkaɻ.ne, ˈsɐ̃.ɡɨ, ˈo.su, ɡoɹ.ˈdu.ɾa, ˈo.vu, ˈʃi.fɾɨ, ˈʁa.bu, , kɐ.ˈβe.lu, kɐ.ˈβe.sɐ, o(w).ˈvi.ðu, ˈo.ʎu, nɐˈɾiʃ, ˈbo.kɐ, ˈdẽ.tɨ, ˈlĩ.ɡwɐ, ˈu.ɲɐ, ˈpɛ, ˈpɛɾ.nɐ, ʒu.ˈe.ʎu, ˈmɐ̃w̃, ˈa.zɐ, bɐ.ˈʁi.ɡɐ, , pɨʃ.ˈko.su, ˈkɔs.tas, ˈsɐj.u, ko.ɾa.ˈsɐ̃w̃, ˈfi.ɡɐ.du, be.ˈbeɾ, ko.ˈme(ʁ), muɾˈðeɾ, , kuʃ.ˈpiɾ, vu.mi.ˈtaɾ, suˈpɾaɾ, ʁɨʃ.pi.ˈɾaɾ, ˈʁiɾ, veɾ, owˈviɾ, sɐ.ˈbeɾ, pẽˈsaɾ, ˈʃɐj.ɾu, ˈme.du, duɾ.ˈmiɾ, viˈveɾ, mu.ˈʁeɾ, ma.ˈta(ʁ), lu.ˈtaɾ, kɐ.ˈsaɾ, ɡow.pe.ˈaɾ, kuɾˈtaɾ, pɐɾ.ˈtiɾ, , ko.ˈsa(ɻ), , nɐˈðaɾ, ˈmos.ka, ɐ̃.ˈdaɾ, ˈviɾ, mẽ.ˈti.ɾɐ, iʃ.ˈtaɾ, pɨɾ.mɐ.nɨ.ˈseɾ, , kɐˈiɾ, ˈdaɾ, ˌse.ɡu.ˈɾa(ɹ), , ˌes.fɾe.ˈɡa(ɻ), lɐˈvaɾ, ˌes.fɾe.ˈɡa(ɻ), pu.ˈʃa(ɹ), ẽ.pu.ˈʁaɾ, lɐ̃.ˈsaɾ, ɐˈtaɾ, , kõ.ˈtaɾ, di.ˈzeɾ, kɐ̃ˈtaɾ, ʒu.ˈɣaɾ, , , ʒe.ˈla(ɻ), ĩ.ˈʃa(ɹ), ˈsɔɫ, ˈlu.ɐ, ɨʃˈtɾelɐ, , ˈʃu.vɐ, ˈʁi.u, ˈla.ɣu, maɾ, ˈsaɫ, ˈpɛ.dɾɐ, ɐˈɾɐjɐ, ˈpɔ, ˈtɛʁɐ, ˈnu.vɐj̃, nɨ.ˈvwɐj.ɾu, ˈsɛw, ˈvẽ.tu, ˈnɛ.vɨ, ˈʒe.lu, ˈfu.mu, ˈfo.ɣu, , ɐɾˈdeɾ, iʃ.ˈtɾa.ðɐ, mõ.ˈtɐ.ɲɐ, vɨɾ.ˈmɐ(j).ʎu, ˈveɾ.ðɨ, ɐ.mɐ.ˈɾɛ.lu, ˈbɾɐ̃.ku, ˈne.ɡɾu, ˈnoj.tɨ, ˈdi.ɐ, ˈɐ.nu, , ˈfɾi.u, ˈʃɐj.u, ˈno.vu, ˈvɛ.ʎu, bõ, ʁuˈĩ, ˈpo.ðɾɨ, ˈsu.ʒu, ˈʁɛ.tu, ʁɨ.ˈdõ.du, a.fi.ˈa.du, ˈsɛ.ɣu, ˈli.zu, muˈʎaðu, ˈse.ku, ku.ˈʁɛ.tu, ˈpɛɾ.tu, ˈlõ.ʒɨ, d͡ʒiˈɾejtu, iʃ.ˈkeɾ.ðu, ˈa, ẽj̃, kõ, ˈɛ, sɨ, poʁ.ˈke, ˈno.mɨ
 qu, ˈɲoqɑ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , joq, , , , 
 rm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , baːp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , tʃanˈtar, , , , , , , , , , , , , , , krap, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 rn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ro, jew, tu, , noj, tu, jej, aˈt͡ʃest, aˈt͡ʃela, aˈit͡ʃʲ, aˈko.lo, , t͡ʃe, ˈunde, kɨnd, kum, nu, tot, mult͡sʲ, , puˈt͡sin, alt, ˈu.nu, doj, trej, ˈpa.tru, t͡ʃint͡ʃʲ, , luŋɡ, larɡ, ɡros, ɡrew, mik, skurt, strɨmt, slab, feˈmeje, om, o.meˈnesk, fiw, , sots, ˈma.mə, ˈta.tə, a.niˈmal, ˈpeʃte, , ˈkɨj.ne, , ˈʃarpe, , ˈarbore, pə.ˈdu.ɾe, , , səˈmɨntsə, ˈfrun.zə, , , flo̯are, ˈjar.bə, , ˈpjele, ˈkarne, ˈsɨn.d͡ʒe, os, , ow, korn, ˈkʷadə, fulɡ, , kap, uˈre.ke, okʲ, , , ˈdinte, ˈlimbə, , piˈt͡ʃjor, , dʒeˈnunkʲ, ˈmɨ.nə, , , , ɡɨt, , pjept, ˈinimə, , be̯a, luˈa, muʃˈka, ˈsu.d͡ʒe, , , , , , veˈde̯a, , ʃti, ɡɨnˈdi, , ˈfrikə, dorˈmi, trəˈi, muˈri, omoˈrɨ, , , , , , , , , , , ˈmer.d͡ʒe,  veˈni , , , , , kəˈde̯a, da, ˈt͡si.ne, , freˈka, , , , , , , , , ˈzitʃe, kɨnˈta, , , , , , ˈso̯are, ˈlunə, , ˈapə, ˈplʷaje, rɨw, , ˈma.re, ˈsa.re, , niˈsip, , pəˈmɨnt, nor, ˈt͡ʃe̯a.t͡sə, t͡ʃer, , zəˈpadə, , , fok, , , , ˈmuntɛ, ˈro.ʃu, ˈver.de, ˈɡal.ben, alb, ˈne.ɡru, ˈno̯ap.te, zi, an, kald, ˈret͡ʃe, plin, now, vekʲ, bun, rəw, ˈpu.tred, murˈdar, drept, roˈtund, as.kuˈt͡sit, toˈt͡ʃit, ˈne.ted, ud, usˈkat, koˈrekt, a.ˈpro̯a.pe, deˈpar.te, drept, stɨŋɡ, la, ɨn, ku, ʃi, ˈda.kə, ˈpen.tru kə, ˈnu.me
 ru, ja, tɨ, on, mɨ, tɨ, ɐˈnʲi, ˈɛtət, tot, zʲdʲesʲ, tam, kto, ʂto, ɡdʲe, kɐɡˈda, kak, nʲɪ, vʲesʲ, ˈmnoɡə, nʲɪˈmnoɡə, nʲɪˈmnoɡʲɪj, drʊˈɡoj, ɐˈdʲin, dva, trʲi, t͡ɕɪˈtɨrʲe, pʲætʲ, bɐlʲˈʂoj, ˈdlʲinːɨj, ʂɨˈrokʲɪj, ˈtolstɨj, tʲɪˈʐolɨj, ˈmalʲɪnʲkʲɪj, kɐˈrotkʲɪj, ˈuskʲɪj, ˈtonkʲɪj, ˈʐɛnʲɕːɪnə, t͡ɕɪlɐˈvʲek, t͡ɕɪlɐˈvʲet͡ɕɪskʲɪj, rʲɪˈbʲɵnək, ʐɨˈna, muʂ, matʲ, ɐˈtʲet͡s, ʐɨˈvotnəjə, ˈrɨbə, ˈptʲit͡sə, sɐˈbakə, voʂ, zmʲɪˈja, t͡ɕerfʲ, ˈdʲerʲɪvə, lʲes, ˈpalkə, plot, ˈsʲemʲə, lʲist, ˈkorʲɪnʲ, kɐˈra, t͡svʲɪˈtok, trɐˈva, vʲɪˈrʲɵfkə, ˈkoʐə, ˈmʲasə, krofʲ, kosʲtʲ, ʐɨr, (j)ɪjˈt͡so, rok, xvost, pʲɪˈro, ˈvoləsɨ, ɡəlɐˈva, ˈuxə, ɡlas, nos, rot, zup, (j)ɪˈzɨk, ˈnoɡətʲ, nɐˈɡa, nɐˈɡa, kɐˈlʲenə, rʊˈka, krɨˈlo, ʐɨˈvot, kʲɪʂˈkʲi, ˈʂɛjə, spʲɪˈna, ɡrutʲ, ˈsʲert͡sə, ˈpʲet͡ɕɪnʲ, pʲitʲ, jesʲtʲ, ɐtˈkusɨvətʲ, sɐˈsatʲ, plʲɪˈvatʲ, blʲɪˈvatʲ, dutʲ, dɨˈʂatʲ, smʲɪˈjat͡sːə, ˈvʲidʲɪtʲ, ˈslɨʂətʲ, znatʲ, ˈdumətʲ, ˈzapəx, strax, spatʲ, ʐɨtʲ, ʊmʲɪˈratʲ, ʊbʲɪˈvatʲ, ˈdrat͡sːə, ɐˈxotʲɪt͡sə, ʊdɐˈrʲætʲ, ˈrʲezətʲ, rəɕːɪˈplʲætʲ, zɐˈkalɨvətʲ, t͡sɐˈrapətʲ, kɐˈpatʲ, ˈplavətʲ, ˈmuxə, xɐˈdʲitʲ, prʲɪxɐˈdʲitʲ, loʂ, sʲɪˈdʲetʲ, stɐˈjætʲ, vrɐˈɕːat͡sːə, ˈpadətʲ, dɐˈvatʲ, dʲɪrˈʐatʲ, ʐːɨˈmatʲ, tʲɪˈrʲetʲ, mɨtʲ, vɨtʲɪˈratʲ, tʲɪˈnutʲ, tɐlˈkatʲ, brɐˈsatʲ, ˈsvʲazɨvətʲ, ʂɨtʲ, ɕːɪˈtatʲ, ɡəvɐˈrʲitʲ, pʲetʲ, ɪˈɡratʲ, ˈplavətʲ, tʲet͡ɕ, zəmʲɪrˈzatʲ, rəzdʊˈvat͡sːə, ˈsont͡sə, lʊˈna, zvʲɪzˈda, vɐˈda, doʂtʲ, rʲɪˈka, ˈozʲɪrə, ˈmorʲe, solʲ, ˈkamʲɪnʲ, pʲɪˈsok, pɨlʲ, zʲɪˈmlʲa, ˈobləkə, tʊˈman, ˈnʲebə, ˈvʲetʲɪr, sʲnʲek, lʲɵt, dɨm, ɐˈɡonʲ, ˈpʲepʲɪl, ɡɐˈrʲetʲ, dɐˈroɡə, ɡɐˈra, ˈkrasnɨj, zʲɪˈlʲɵnɨj, ˈʐoltɨj, ˈbʲelɨj, ˈt͡ɕɵrnɨj, not͡ɕ, ˈsutkʲɪ, ɡot, ˈtʲɵplɨj, xɐˈlodnɨj, ˈpolnɨj, ˈnovɨj, ˈstarɨj, xɐˈroʂɨj, plɐˈxoj, ɡnʲɪˈloj, ˈɡrʲaznɨj, prʲɪˈmoj, ˈkruɡlɨj, ˈostrɨj, tʊˈpoj, ˈɡlatkʲɪj, ˈmokrɨj, sʊˈxoj, ˈpravʲɪlʲnɨj, ˈblʲiskʲɪj, dɐˈlʲɵkʲɪj, ˈpravə, ˈlʲevɨj, vɛ, vɛ, s, i, ˈjes⁽ʲ⁾lʲɪ, pətɐˈmu‿ʂtə, ˈimʲə
 rw, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , amavûta, , , , , , umutwê, uɡutwî, , izûːru, , , , , , ukuɡuru, , ikiɡaːnza, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , izûːba, , , amâːzi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
